event_id,bin_id,mc_energy_GeV,n_doms_ic,has_dm_hit,lf_ang_err,piv_lf_ang_err,mpe_std_ang_err,mpe_piv_ang_err,mpe_piv2_ang_err,spe_std_ang_err,spe_piv_ang_err,ll_mc,ll_lf,ll_plf,ll_mpe_std,ll_mpe_piv,ll_mpe_piv2,ll_spe_std,ll_spe_piv,dp_lf_m,dp_mpe_m
4168,4,55738.14241153022,683,1,13.189039755476669,1.793057043155132,0.1812305171278225,0.18114597127115273,0.18114597127115273,3.203267541741945,3.2060235720895545,,,-6.019094101801787,-6.297463859789223,-6.297347829365335,-6.297347829365335,,-8.183600574565725,75.24867455210267,0.8828985290635407
4169,4,50583.563439610974,261,1,2.2300080398746864,1.5623939554673696,0.29987627094541736,0.2994303088727371,0.2994303088727371,0.4600598575256076,0.46132401218975444,,-9.566550327340504,-6.019094101801787,-6.191623876420885,-6.191678128323509,-6.191678128323509,-6.426007077686243,-6.426304627356356,7.478329521821516,2.2422479098046795
4170,4,25273.649178352134,274,1,13.590258337539321,12.383708585162562,0.4289453910455789,0.4283442849671499,0.4283442849671499,2.1832738316213707,2.1939903875254054,,,-6.019094101801787,-6.292223372149062,-6.2922187412007204,-6.2922187412007204,-6.0219659654083175,-6.022036880465728,62.39836294380841,1.9083772963650694
4171,4,66273.41859942576,301,1,2.110513250739124,0.7589402512576718,0.8475877776346655,0.11834046630791617,0.11834046630791617,0.5244977450629734,0.5229403134122849,,,-6.019094101801787,-6.1457208559637015,-6.148819821619254,-6.148819821619254,-8.915636176500133,-8.918962367939827,27.814114274121515,3.537090176854622
4172,4,51017.63463705446,341,1,12.102206917310182,7.685996522521559,0.3729177533451669,0.3715581510090136,0.3715581510090136,1.7215912619546205,1.7215538163007975,,,-6.019094101801787,-6.26588625531905,-6.266162494335866,-6.266162494335866,-6.277346212612504,-6.277813062161502,48.599922583527686,2.216085267470563
4173,4,33233.28402292843,157,1,1.460124492285545,0.8904231497905131,0.24399092165780437,0.24436854891233104,0.24436854891233104,0.15848432206051424,0.15765801503984367,,-40.23638226155277,-6.019094101801787,-6.102362552175291,-6.102248435874479,-6.102248435874479,-6.538622580807145,-6.538967394980878,11.71108029662163,3.269719845228722
4174,4,91871.84580593424,654,1,5.481167143784405,3.482136220736824,0.10985281928567311,0.11034386508128585,0.11034386508128585,0.8449465867091736,0.8270200066799556,,,-6.019094101801787,-6.222116378728646,-6.222813168151564,-6.222813168151564,-9.147414371489115,-9.190113476810472,27.830815593020134,1.2902020420450502
4175,4,31011.840875229736,97,1,44.83835878588629,81.64030500992232,79.71991024106265,29.72043374532357,29.72043374532357,81.30744507398511,78.14509304959633,,,-6.019094101801787,,-294.2522504902249,-294.2522504902249,,-7.3222130307992535,85.55601454641194,185.12440604975023
4176,4,62165.863423760224,334,1,10.383286081157433,6.831972845931644,0.19143685673214278,0.19176539847249613,0.19176539847249613,3.2105958820681924,3.290549997137007,,,-6.019094101801787,-6.225027172522357,-6.224901425499645,-6.224901425499645,,-6.021527151613522,43.41148325868525,1.3637275645074984
4177,4,54368.15307878779,188,1,2.317484776005894,2.0388686332947543,1.1278528878530711,1.2021572490373267,1.2021572490373267,2.208132081038803,2.213186917981531,,-9.423688081146256,-6.019094101801787,-6.069351387837782,-6.073943385679121,-6.073943385679121,-6.898101158093677,-6.896754691061704,5.053207516601472,5.4396387119148875
