mc_zenith_deg,mc_azimuth_deg,mc_energy_GeV,mc_ca_det1_m,mc_ca_det2_m,mc_ca_min_m,closest_det,std_reco_key,std_zenith_deg,std_azimuth_deg,std_speed_m_ns,ic_only_ang_err_deg,ic_analytic_ang_err_deg,cfit_ang_err_deg,cfit_iter_ang_err_deg,cfit_ang_diff_deg,cfit_speed_m_ns,n_doms,ca_bin,run
133.3530102300173,-149.0826976118376,1632.4382236892895,3.06111178766429e-13,357.9226973435991,3.06111178766429e-13,det1,computed_linefit,50.4635383605896,31.557763567833216,0.1958725547221164,176.1534118777666,176.1534118777666,158.90225260881817,40.15604554685489,17.251878795147206,0.0815759205466261,85,"(0, 100]",2000
167.7489922900703,-149.51700522478853,3460.4951614787005,2.7408903977723625e-13,496.5600071610052,2.7408903977723625e-13,det1,computed_linefit,13.327188924388198,20.40526466877149,0.1687633549853061,177.52735785708606,177.52735785708606,16.013921759531286,10.87022577692766,162.67145664542113,0.0415582402553598,132,"(0, 100]",2000
143.30665850951922,21.67269837778737,3243.805451021054,2.6048926968973323e-13,422.8644143628957,2.6048926968973323e-13,det1,computed_linefit,38.48229902526157,200.80947739885443,0.2263793895557748,178.1352001374684,178.1352001374684,156.42380102189537,74.34570030543074,21.82139905319645,0.044868289287936,138,"(0, 100]",2000
134.30344025333594,-12.711725383752306,1943.7133736019475,4.0693694993695867e-13,466.4558576984289,4.0693694993695867e-13,det1,computed_linefit,50.711227993336855,172.9454119785538,0.2184325168069208,173.45100587875976,173.45100587875976,145.8192102078621,56.62764608457345,28.253675690542103,0.0808971597722836,114,"(0, 100]",2000
134.62934286829514,55.58280074201532,3384.972280624108,2.1268859807002749e-13,364.1910537087366,2.1268859807002749e-13,det1,computed_linefit,57.44901841205782,236.59107261861124,0.0974768931183619,167.89623267851945,167.89623267851945,,,,,112,"(0, 100]",2000
130.24812451359114,-178.87160265745982,1908.123812684179,6.412229920828439e-13,420.1294930043749,6.412229920828439e-13,det1,computed_linefit,52.0245484442898,359.66785757932803,0.2251009185303818,177.46055438992911,177.46055438992911,102.26102164123536,21.87897662594866,75.25902777369251,0.0223264043947449,68,"(0, 100]",2000
157.11557897890108,64.84175671510522,3657.9903769843145,3.1263880373444413e-13,472.9831541868606,3.1263880373444413e-13,det1,computed_linefit,25.684150081057037,246.86291882570143,0.2557567525783416,177.0798619830373,177.0798619830373,4.278232112488518,8.850411488334094,173.01449354387614,0.1181607713513145,100,"(0, 100]",2000
137.41559714285913,31.29893731813803,2627.962231566717,3.6838745804788353e-13,381.1992358922631,3.6838745804788353e-13,det1,computed_linefit,45.08543273762264,211.5457129890696,0.2325515063206303,177.4931410440119,177.4931410440119,167.7374764948669,61.86571841198632,9.757879580597836,0.1054264123704056,109,"(0, 100]",2000
130.89256171506253,-107.40467973514605,4494.1224510752045,4.366225850770097e-13,379.9458633233676,4.366225850770097e-13,det1,computed_linefit,54.48242917228623,77.39034436715403,0.1050685644987277,173.4383726634776,173.4383726634776,55.35324353908798,26.3573624823078,118.6061151123763,0.0481030573770718,141,"(0, 100]",2000
134.16131396771655,-95.883931342255,4636.324074979239,4.652834361350216e-13,424.6640394298927,4.652834361350216e-13,det1,computed_linefit,49.52736115425517,86.83628031832794,0.1920836617158384,175.79918120676265,175.79918120676265,163.4751913698351,49.04960667893683,12.476602081251563,0.0902716785505962,166,"(0, 100]",2000
